Date,Description,Category,Amount
2022-05-16,Group dinner,Social Life,-150.00
2022-05-17,Weekly groceries,Food,-100.00
2022-05-18,Car rental,Transportation,-75.00
2022-05-19,Bedding set,Household,-120.00
2022-05-20,Streaming service subscription,Subscription,-9.99
2022-05-21,Government bonds,Investment,-800.00
2022-05-22,Medical consultation,Health,-60.00
2022-05-23,Family photoshoot,Family,-180.00
2022-05-24,Jacket,Apparel,-200.00
2022-05-25,Skincare routine,Beauty,-35.00
2022-05-26,Online seminar,Education,-20.00
2022-05-27,Spring festival,Festivals,-250.00
2022-05-28,Wire transfer to coworker,Money transfer,-40.00
2022-05-29,Music festival,Culture,-100.00
2022-05-30,Beach holiday,Tourism,-900.00
2022-05-31,Razor,Grooming,-12.00
2022-06-01,Document processing,Documents,-20.00
2022-06-02,Social gathering,Social Life,-110.00
2022-06-03,Organic vegetables,Food,-25.00
2022-06-04,Parking fee,Transportation,-5.00
2022-06-05,Room decor,Household,-45.00
2022-06-06,Magazine subscription,Subscription,-6.99
2022-06-07,Real estate fund,Investment,-1000.00
2022-06-08,Health supplements,Health,-75.00
2022-06-09,Children's clothing,Family,-60.00
2022-06-10,T-shirt,Apparel,-25.00
2022-06-11,Cosmetics,Beauty,-40.00
2022-06-12,Tuition fee,Education,-400.00
2022-06-13,Halloween decorations,Festivals,-80.00
2022-06-14,Money transfer to account,Money transfer,-20.00
2022-06-15,Art museum tickets,Culture,-25.00
2022-06-16,City tour guide,Tourism,-100.00
2022-06-17,Hair conditioner,Grooming,-10.00
2022-06-18,Document translation,Documents,-30.00
2022-06-19,Friend's wedding gift,Social Life,-80.00
2022-06-20,Daily groceries,Food,-45.00
2022-06-21,Tram fare,Transportation,-3.00
2022-06-22,Laundry detergent,Household,-15.00
2022-06-23,Video streaming subscription,Subscription,-7.99
2022-06-24,Investment in bonds,Investment,-500.00
2022-06-25,Health check-up,Health,-150.00
2022-06-26,Family trip expenses,Family,-800.00
2022-06-27,Summer hat,Apparel,-25.00
2022-06-28,Beauty treatment,Beauty,-80.00
2022-06-29,Textbook,Education,-75.00
2022-06-30,Festival food,Festivals,-50.00
2022-07-01,Money transfer fee,Money transfer,-15.00
2022-07-02,Theater tickets,Culture,-45.00
2022-07-03,Resort booking,Tourism,-750.00
2022-07-04,Electric shaver,Grooming,-30.00
2022-07-05,Document fee,Documents,-10.00
2022-07-06,Social club membership,Social Life,-40.00
2022-07-07,Weekly fruits,Food,-30.00
2022-07-08,Taxi fare,Transportation,-20.00
2022-07-09,Kitchenware,Household,-50.00
2022-07-10,Digital newspaper subscription,Subscription,-5.99
2022-07-11,Equity funds,Investment,-600.00
2022-07-12,Health insurance premium,Health,-200.00
2022-07-13,Family weekend outing,Family,-150.00
2022-07-14,Winter boots,Apparel,-150.00
2022-07-15,Facial mask,Beauty,-20.00
2022-07-16,Online certification course,Education,-200.00
2022-07-17,Holiday party,Festivals,-300.00
2022-07-18,Money transfer for rent,Money transfer,-500.00
2022-07-19,Book fair entry,Culture,-10.00
2022-07-20,Vacation rental,Tourism,-600.00
2022-07-21,Body lotion,Grooming,-15.00
2022-07-22,Document legalisation,Documents,-50.00
2022-07-23,Pub night,Social Life,-75.00
2022-07-24,Grocery haul,Food,-80.00
2022-07-25,Train fare,Transportation,-35.00
2022-07-26,New cutlery,Household,-25.00
2022-07-27,News subscription,Subscription,-7.99
2022-07-28,Investment in shares,Investment,-900.00
2022-07-29,Fitness membership,Health,-60.00
2022-07-30,Family gifts,Family,-200.00
2022-07-31,Jacket purchase,Apparel,-100.00
2022-08-01,Hair care,Beauty,-50.00
2022-08-02,School tuition,Education,-1000.00
2022-08-03,New Year gifts,Festivals,-150.00
2022-08-04,International wire transfer,Money transfer,-50.00
2022-08-05,Opera show,Culture,-80.00
2022-08-06,Flight tickets,Tourism,-1200.00
2022-08-07,Beard trimmer,Grooming,-20.00
2022-08-08,Document preparation,Documents,-40.00
2022-08-09,Friends' reunion,Social Life,-100.00
2022-08-10,Bakery shopping,Food,-30.00
2022-08-11,Gas refill,Transportation,-60.00
2022-08-12,Vacuum bags,Household,-10.00
2022-08-13,Magazine renewal,Subscription,-4.99
2022-08-14,Mutual fund SIP,Investment,-300.00
2022-08-15,Health supplements order,Health,-50.00
2022-08-16,Family holiday,Family,-500.00
2022-08-17,New blazer,Apparel,-90.00
2022-08-18,Salon visit,Beauty,-75.00
2022-08-19,College fee,Education,-600.00
2022-08-20,Diwali sweets,Festivals,-75.00
2022-08-21,Money transfer to partner,Money transfer,-300.00
2022-08-22,Art show entry,Culture,-20.00
2022-08-23,Holiday travel,Tourism,-1500.00
2022-08-24,Shaving gel,Grooming,-8.00
2022-08-25,Legal documentation,Documents,-50.00
2022-08-26,Community event,Social Life,-30.00
2022-08-27,Weekly shop,Food,-70.00
2022-08-28,Bus ride,Transportation,-5.00
2022-08-29,Living room setup,Household,-90.00
2022-08-30,Monthly subscription,Subscription,-10.00
2022-08-31,Stock purchase,Investment,-450.00
2022-09-01,Medical bill,Health,-100.00
2022-09-02,Family weekend trip,Family,-300.00
2022-09-03,Trousers,Apparel,-45.00
2022-09-04,Face wash,Beauty,-15.00
2022-09-05,Online study material,Education,-40.00
2022-09-06,Eid celebration,Festivals,-200.00
2022-09-07,Transfer fee,Money transfer,-10.00
2022-09-08,Live concert,Culture,-60.00
2022-09-09,Safari trip,Tourism,-900.00
2022-09-10,Aftershave,Grooming,-12.00
2022-09-11,Document translation fee,Documents,-30.00
2022-09-12,Social meetup,Social Life,-50.00
2022-09-13,Dairy products,Food,-20.00
2022-09-14,Cab fare,Transportation,-30.00
2022-09-15,Storage boxes,Household,-25.00
2022-09-16,Reading subscription,Subscription,-8.99
2022-09-17,Investment in ETFs,Investment,-550.00
2022-09-18,Gym session,Health,-25.00
2022-09-19,Family brunch,Family,-70.00
2022-09-20,Workout gear,Apparel,-50.00
2022-09-21,Hair dye,Beauty,-25.00
2022-09-22,Educational app,Education,-10.00
2022-09-23,Festival shopping,Festivals,-250.00
2022-09-24,Money transfer for groceries,Money transfer,-40.00
2022-09-25,Theater show,Culture,-50.00
2022-09-26,Tour package,Tourism,-1100.00
2022-09-27,Beard oil,Grooming,-15.00
2022-09-28,Document notarization fee,Documents,-20.00
2022-09-29,Friends' dinner,Social Life,-120.00
2022-09-30,Groceries,Food,-100.00
2022-10-01,Subway ticket,Transportation,-2.75
2022-10-02,New desk,Household,-200.00
2022-10-03,Online news subscription,Subscription,-6.99
2022-10-04,Mutual fund,Investment,-250.00
2022-10-05,Doctor's visit,Health,-80.00
2022-10-06,Family celebration,Family,-250.00
2022-10-07,Winter jacket,Apparel,-150.00
2022-10-08,Cosmetic products,Beauty,-50.00
2022-10-09,Online classes,Education,-60.00
2022-10-10,Festival donations,Festivals,-150.00
2022-10-11,Money transfer for bills,Money transfer,-120.00
2022-10-12,Art class,Culture,-70.00
2022-10-13,Weekend trip,Tourism,-700.00
2022-10-14,Trimmer,Grooming,-25.00
2022-10-15,Document verification,Documents,-15.00
2022-10-16,Evening out,Social Life,-90.00
2022-10-17,Fresh produce,Food,-35.00
2022-10-18,Bus fare,Transportation,-2.50
2022-10-19,Wall art,Household,-45.00
2022-10-20,Online publication,Subscription,-4.99
2022-10-21,Equity investment,Investment,-300.00
2022-10-22,Health supplements,Health,-25.00
2022-10-23,Family day out,Family,-200.00
2022-10-24,Summer clothes,Apparel,-80.00
2022-10-25,Nail polish,Beauty,-10.00
2022-10-26,Exam registration,Education,-100.00
2022-10-27,Christmas presents,Festivals,-300.00
2022-10-28,Wire transfer to friend,Money transfer,-50.00
2022-10-29,Music class,Culture,-30.00
2022-10-30,Holiday planning,Tourism,-600.00
2022-10-31,Shaving foam,Grooming,-8.00
2022-11-01,Document approval,Documents,-20.00
2022-11-02,Dinner party,Social Life,-70.00
2022-11-03,Beverages,Food,-20.00
2022-11-04,Parking ticket,Transportation,-10.00
2022-11-05,Storage solutions,Household,-30.00
2022-11-06,Digital magazine,Subscription,-6.99
2022-11-07,Fixed deposits,Investment,-400.00
2022-11-08,Health check,Health,-120.00
2022-11-09,Family vacation,Family,-800.00
2022-11-10,Suit,Apparel,-250.00
2022-11-11,Facial,Grooming,-35.00
2022-11-12,Workshop enrollment,Education,-80.00
2022-11-13,Diwali gifts,Festivals,-300.00
2022-11-14,Transfer for rent,Money transfer,-500.00
2022-11-15,Theater play,Culture,-45.00
2022-11-16,Travel insurance,Tourism,-100.00
2022-11-17,Hair wax,Grooming,-12.00
2022-11-18,Document review,Documents,-10.00
2022-11-19,Weekend gathering,Social Life,-60.00
2022-11-20,Breakfast items,Food,-15.00
2022-11-21,Train fare,Transportation,-20.00
2022-11-22,Home decor,Household,-70.00
2022-11-23,Online content subscription,Subscription,-9.99
2022-11-24,Government bonds,Investment,-600.00
2022-11-25,Medical insurance,Health,-200.00
2022-11-26,Family celebration expenses,Family,-300.00
2022-11-27,Sports gear,Apparel,-100.00
2022-11-28,Beauty products,Beauty,-30.00
2022-11-29,Online training,Education,-50.00
2022-11-30,Christmas tree,Festivals,-80.00
2022-12-01,Transfer for tuition,Money transfer,-200.00
2022-12-02,Historical site visit,Culture,-25.00
2022-12-03,Travel booking,Tourism,-700.00
2022-12-04,Razor blades,Grooming,-10.00
2022-12-05,Legal document copy,Documents,-15.00
2022-12-06,Friends' night out,Social Life,-80.00
2022-12-07,Fruits,Food,-20.00
2022-12-08,Ride share fare,Transportation,-25.00
2022-12-09,Home cleaning supplies,Household,-40.00
2022-12-10,Monthly service subscription,Subscription,-8.99
2022-12-11,Real estate,Investment,-1500.00
2022-12-12,Health insurance,Health,-250.00
2022-12-13,Family photo session,Family,-100.00
2022-12-14,Jacket,Apparel,-90.00
2022-12-15,Cosmetic cream,Beauty,-25.00
2022-12-16,School exam fee,Education,-200.00
2022-12-17,Diwali decorations,Festivals,-150.00
2022-12-18,Wire transfer for groceries,Money transfer,-40.00
2022-12-19,Art gallery visit,Culture,-20.00
2022-12-20,Holiday resort booking,Tourism,-850.00
2022-12-21,Electric shaver,Grooming,-35.00
2022-12-22,Document processing fee,Documents,-25.00
2022-12-23,Friends' gathering,Social Life,-50.00
2022-12-24,Organic vegetables,Food,-25.00
2022-12-25,Taxi ride,Transportation,-18.00
2022-12-26,Home improvement,Household,-80.00
2022-12-27,Digital content subscription,Subscription,-5.99
2022-12-28,Investment in mutual funds,Investment,-300.00
2022-12-29,Doctor's visit fee,Health,-100.00
2022-12-30,Family entertainment,Family,-200.00
2022-12-31,Winter coat,Apparel,-180.00
2023-01-01,New Year's brunch,Food,-80.00
2023-01-02,Cab fare,Transportation,-15.00
2023-01-03,Cleaning supplies,Household,-40.00
2023-01-04,Online streaming subscription,Subscription,-12.99
2023-01-05,Stock investment,Investment,-300.00
2023-01-06,Pharmacy visit,Health,-30.00
2023-01-07,Family outing,Family,-150.00
2023-01-08,Jeans,Apparel,-60.00
2023-01-09,Spa day,Beauty,-100.00
2023-01-10,Online course fee,Education,-50.00
2023-01-11,Winter festival,Festivals,-200.00
2023-01-12,International wire transfer,Money transfer,-25.00
2023-01-13,Theater visit,Culture,-40.00
2023-01-14,Weekend getaway,Tourism,-600.00
2023-01-15,Shaving kit,Grooming,-25.00
2023-01-16,Document notarization,Documents,-15.00
2023-01-17,Friends' meetup,Social Life,-70.00
2023-01-18,Grocery shopping,Food,-100.00
2023-01-19,Metro ticket,Transportation,-5.00
2023-01-20,Home repair tools,Household,-70.00
2023-01-21,Music subscription,Subscription,-9.99
2023-01-22,Mutual fund investment,Investment,-400.00
2023-01-23,Dentist visit,Health,-120.00
2023-01-24,Family picnic,Family,-80.00
2023-01-25,Sweater,Apparel,-45.00
2023-01-26,Manicure,Beauty,-30.00
2023-01-27,Tuition fee,Education,-150.00
2023-01-28,Cultural event tickets,Festivals,-50.00
2023-01-29,Money transfer to sibling,Money transfer,-100.00
2023-01-30,Museum visit,Culture,-25.00
2023-01-31,Travel insurance,Tourism,-50.00
2023-02-01,Electric trimmer,Grooming,-35.00
2023-02-02,Document certification,Documents,-20.00
2023-02-03,Social night out,Social Life,-90.00
2023-02-04,Vegetables,Food,-25.00
2023-02-05,Car wash,Transportation,-20.00
2023-02-06,Table lamp,Household,-30.00
2023-02-07,Magazine subscription,Subscription,-7.99
2023-02-08,Bond investment,Investment,-500.00
2023-02-09,Health insurance premium,Health,-250.00
2023-02-10,Family movie night,Family,-60.00
2023-02-11,Summer dress,Apparel,-70.00
2023-02-12,Facial treatment,Beauty,-45.00
2023-02-13,Textbook purchase,Education,-100.00
2023-02-14,Valentine's Day gifts,Festivals,-200.00
2023-02-15,Money transfer to parents,Money transfer,-300.00
2023-02-16,Book fair tickets,Culture,-15.00
2023-02-17,Travel booking,Tourism,-450.00
2023-02-18,Hair gel,Grooming,-10.00
2023-02-19,Document fee,Documents,-10.00
2023-02-20,Dinner with friends,Social Life,-120.00
2023-02-21,Weekly groceries,Food,-85.00
2023-02-22,Train ticket,Transportation,-25.00
2023-02-23,Kitchen utensils,Household,-35.00
2023-02-24,Online reading subscription,Subscription,-6.99
2023-02-25,ETF purchase,Investment,-600.00
2023-02-26,Fitness check-up,Health,-90.00
2023-02-27,Family park visit,Family,-50.00
2023-02-28,Trousers,Apparel,-55.00
2023-03-01,Beauty products,Beauty,-30.00
2023-03-02,School supplies,Education,-20.00
2023-03-03,Holiday decorations,Festivals,-75.00
2023-03-04,Money transfer for utilities,Money transfer,-60.00
2023-03-05,Art gallery,Culture,-30.00
2023-03-06,City tour,Tourism,-300.00
2023-03-07,Razor blades,Grooming,-12.00
2023-03-08,Legal document preparation,Documents,-40.00
2023-03-09,Group lunch,Social Life,-100.00
2023-03-10,Fruit shopping,Food,-25.00
2023-03-11,Bus pass,Transportation,-50.00
2023-03-12,Living room carpet,Household,-120.00
2023-03-13,Monthly magazine subscription,Subscription,-5.99
2023-03-14,Real estate investment,Investment,-2000.00
2023-03-15,Pharmacy order,Health,-60.00
2023-03-16,Family dining out,Family,-70.00
2023-03-17,Shoes,Apparel,-90.00
2023-03-18,Cosmetics,Beauty,-35.00
2023-03-19,Online learning,Education,-100.00
2023-03-20,Easter gifts,Festivals,-150.00
2023-03-21,Wire transfer for rent,Money transfer,-500.00
2023-03-22,Symphony tickets,Culture,-50.00
2023-03-23,Adventure trip,Tourism,-700.00
2023-03-24,Shaving cream,Grooming,-8.00
2023-03-25,Document filing fee,Documents,-20.00
2023-03-26,Game night with friends,Social Life,-60.00
2023-03-27,Grocery store,Food,-110.00
2023-03-28,Taxi service,Transportation,-30.00
2023-03-29,New curtains,Household,-70.00
2023-03-30,Video service subscription,Subscription,-10.99
2023-03-31,Investment in gold,Investment,-1500.00
2023-04-01,Health supplements,Health,-50.00
2023-04-02,Family day out,Family,-150.00
2023-04-03,Blazer,Apparel,-120.00
2023-04-04,Hair treatment,Beauty,-60.00
2023-04-05,Education software,Education,-200.00
2023-04-06,Diwali sweets,Festivals,-80.00
2023-04-07,Money transfer to friend,Money transfer,-50.00
2023-04-08,Art exhibit entry,Culture,-20.00
2023-04-09,Hotel booking,Tourism,-450.00
2023-04-10,Aftershave lotion,Grooming,-10.00
2023-04-11,Document processing,Documents,-25.00
2023-04-12,Weekend party,Social Life,-90.00
2023-04-13,Vegetable market,Food,-35.00
2023-04-14,Car repair,Transportation,-250.00
2023-04-15,Storage solutions,Household,-45.00
2023-04-16,Digital service subscription,Subscription,-8.99
2023-04-17,Mutual funds,Investment,-750.00
2023-04-18,Doctor's visit,Health,-100.00
2023-04-19,Family park entry,Family,-20.00
2023-04-20,Sportswear,Apparel,-70.00
2023-04-21,Makeup purchase,Beauty,-45.00
2023-04-22,Online seminar,Education,-50.00
2023-04-23,Halloween costumes,Festivals,-100.00
2023-04-24,Money transfer for food,Money transfer,-40.00
2023-04-25,Local theater show,Culture,-25.00
2023-04-26,Travel expenses,Tourism,-300.00
2023-04-27,Beard oil,Grooming,-15.00
2023-04-28,Document notarization,Documents,-15.00
2023-04-29,Social gathering,Social Life,-50.00
2023-04-30,Meat purchase,Food,-45.00
2023-05-01,Bus ticket,Transportation,-2.50
2023-05-02,Home improvement items,Household,-80.00
2023-05-03,Newspaper subscription,Subscription,-4.99
2023-05-04,Stock trading,Investment,-600.00
2023-05-05,Health check-up,Health,-150.00
2023-05-06,Family dinner,Family,-90.00
2023-05-07,Work pants,Apparel,-55.00
2023-05-08,Beauty cream,Beauty,-25.00
2023-05-09,Exam registration,Education,-200.00
2023-05-10,Holiday shopping,Festivals,-250.00
2023-05-11,Money transfer for bills,Money transfer,-120.00
2023-05-12,Art supplies,Culture,-30.00
2023-05-13,Travel insurance,Tourism,-60.00
2023-05-14,Haircut,Grooming,-20.00
2023-05-15,Document copying fee,Documents,-10.00
2023-05-16,Group dinner,Social Life,-100.00
2023-05-17,Bakery purchase,Food,-25.00
2023-05-18,Taxi fare,Transportation,-15.00
2023-05-19,Furniture,Household,-200.00
2023-05-20,Online magazine,Subscription,-6.99
2023-05-21,Bonds investment,Investment,-500.00
2023-05-22,Medical consultation,Health,-100.00
2023-05-23,Family movie outing,Family,-75.00
2023-05-24,Shirt,Apparel,-40.00
2023-05-25,Facial cleanser,Beauty,-15.00
2023-05-26,Course material,Education,-50.00
2023-05-27,Festival food,Festivals,-100.00
2023-05-28,Wire transfer for rent,Money transfer,-500.00
2023-05-29,Music event tickets,Culture,-45.00
2023-05-30,Vacation package,Tourism,-1000.00
2023-05-31,Razor,Grooming,-25.00
2023-06-01,Legal documents,Documents,-30.00
2023-06-02,Social event,Social Life,-80.00
2023-06-03,Dairy products,Food,-20.00
2023-06-04,Public transport card,Transportation,-50.00
2023-06-05,Home decor,Household,-60.00
2023-06-06,Online subscription,Subscription,-5.99
2023-06-07,Real estate purchase,Investment,-2500.00
2023-06-08,Health insurance,Health,-200.00
2023-06-09,Family celebration,Family,-150.00
2023-06-10,Shoes purchase,Apparel,-75.00
2023-06-11,Skincare products,Beauty,-40.00
2023-06-12,Online education course,Education,-150.00
2023-06-13,Diwali sweets,Festivals,-100.00
2023-06-14,Money transfer to relative,Money transfer,-200.00
2023-06-15,Opera tickets,Culture,-100.00
2023-06-16,Weekend getaway,Tourism,-800.00
2023-06-17,Shaving set,Grooming,-25.00
2023-06-18,Document filing fee,Documents,-10.00
2023-06-19,Brunch with friends,Social Life,-90.00
2023-06-20,Groceries,Food,-95.00
2023-06-21,Car rental,Transportation,-150.00
2023-06-22,Home cleaning,Household,-45.00
2023-06-23,Digital magazine subscription,Subscription,-8.99
2023-06-24,Investment in ETFs,Investment,-300.00
2023-06-25,Pharmacy,Health,-60.00
2023-06-26,Family park visit,Family,-25.00
2023-06-27,Jacket purchase,Apparel,-85.00
2023-06-28,Makeup,Grooming,-35.00
2023-06-29,School enrollment,Education,-300.00
2023-06-30,Christmas gifts,Festivals,-200.00
2023-07-01,Money transfer for shopping,Money transfer,-150.00
2023-07-02,Concert visit,Culture,-75.00
2023-07-03,Travel booking,Tourism,-900.00
2023-07-04,Hair dye,Grooming,-15.00
2023-07-05,Document processing fee,Documents,-20.00
2023-07-06,Friends' dinner,Social Life,-120.00
2023-07-07,Fruit market,Food,-35.00
2023-07-08,Subway ride,Transportation,-2.75
2023-07-09,New sofa,Household,-500.00
2023-07-10,Streaming service,Subscription,-9.99
2023-07-11,Stock purchase,Investment,-400.00
2023-07-12,Health supplements,Health,-30.00
2023-07-13,Family day trip,Family,-200.00
2023-07-14,Sports attire,Apparel,-60.00
2023-07-15,Skincare routine,Beauty,-40.00
2023-07-16,Tuition fees,Education,-250.00
2023-07-17,Diwali decorations,Festivals,-150.00
2023-07-18,Money transfer for groceries,Money transfer,-40.00
2023-07-19,Book fair entry,Culture,-20.00
2023-07-20,Holiday package,Tourism,-1200.00
2023-07-21,Beard trimmer,Grooming,-30.00
2023-07-22,Document notarization fee,Documents,-25.00
2023-07-23,Dinner with friends,Social Life,-100.00
2023-07-24,Dairy shopping,Food,-20.00
2023-07-25,Bus fare,Transportation,-5.00
2023-07-26,Storage boxes,Household,-25.00
2023-07-27,Online news subscription,Subscription,-6.99
2023-07-28,Bonds investment,Investment,-700.00
2023-07-29,Health screening,Health,-100.00
2023-07-30,Family barbecue,Family,-50.00
2023-07-31,Winter coat,Apparel,-150.00
2023-08-01,Facial treatment,Beauty,-45.00
2023-08-02,Online training,Education,-200.00
2023-08-03,Christmas lights,Festivals,-50.00
2023-08-04,Wire transfer for bills,Money transfer,-100.00
2023-08-05,Museum visit,Culture,-30.00
2023-08-06,Tour package,Tourism,-800.00
2023-08-07,Aftershave lotion,Grooming,-20.00
2023-08-08,Document review fee,Documents,-20.00
2023-08-09,Party with friends,Social Life,-80.00
2023-08-10,Meat shopping,Food,-40.00
2023-08-11,Ride share,Transportation,-25.00
2023-08-12,Home office setup,Household,-200.00
2023-08-13,Monthly reading subscription,Subscription,-5.99
2023-08-14,Investment in gold,Investment,-1000.00
2023-08-15,Pharmacy visit,Health,-45.00
2023-08-16,Family dinner out,Family,-70.00
2023-08-17,Suit,Apparel,-250.00
2023-08-18,Cosmetics purchase,Beauty,-50.00
2023-08-19,College fees,Education,-400.00
2023-08-20,Halloween costumes,Festivals,-80.00
2023-08-21,Wire transfer for rent,Money transfer,-450.00
2023-08-22,Opera show tickets,Culture,-75.00
2023-08-23,Adventure trip,Tourism,-900.00
2023-08-24,Hair gel,Grooming,-15.00
2023-08-25,Document copy fee,Documents,-15.00
